region,country,video_id_a,video_id_b
Brisbane,Australia,892427035,01cbfbb01e
Melbourne,Australia,892427861,8cfb6fb993
Perth,Australia,892428366,77a2d72066
Sydney,Australia,892436624,41999f753e
Bengaluru,India,892426849,2a0f860dfc
Delhi,India,892427210,75a208710d
Hyderabad,India,892434792,01adcc77fd
Mumbai,India,892435801,1f6c97b132
Osaka,Japan,892428205,ec822979fd
Tokyo,Japan,892428570,1f57e1666a
Kuala Lumpur,Malaysia,892427679,e2ad6683ab
Jakarta,Indonesia,892427501,2b1aca442f
Auckland,New Zealand,892423393,89d7aca62d
Christchurch,New Zealand,892427133,f39d6da23e
